location,parameter,value,unit,country,city,date.utc,coordinates.latitude,coordinates.longitude
US Diplomatic Post: New Delhi,pm25,48.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 21:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,43.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 20:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,49.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 19:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,59.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 18:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,56.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 17:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,56.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 16:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,55.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 15:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,46.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 14:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,28.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 13:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,25.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 12:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,23.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 11:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,17.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 10:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,23.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 09:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,26.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 08:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,26.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 07:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,51.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 06:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,57.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 05:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,65.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 04:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,108.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 03:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,77.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 02:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,79.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 01:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,86.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-03 00:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,96.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 23:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,112.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 22:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,70.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 21:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,69.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 20:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,62.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 19:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,75.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 18:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,90.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 17:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,90.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 16:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,76.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 15:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,52.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 14:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,55.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 13:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,38.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 12:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,39.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 11:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,37.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 10:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,37.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 09:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,48.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 08:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,59.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 07:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,79.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 06:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,119.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 05:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,103.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 04:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,125.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 03:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,130.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 02:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,116.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 01:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,121.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-02 00:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,130.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 23:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,140.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 22:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,140.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 21:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,143.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 20:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,116.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 19:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,112.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 18:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,145.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 17:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,82.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 16:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,71.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 15:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,77.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 14:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,52.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 13:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,52.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 12:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,55.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 11:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,51.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 10:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,60.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 09:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,61.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 08:30:00+00:00,28.63576,77.22445
US Diplomatic Post: New Delhi,pm25,53.0,b'\xc2\xb5g/m\xc2\xb3',IN,Delhi,2023-03-01 07:30:00+00:00,28.63576,77.22445
